x,y,ID
19,59,1
19,59.1,2
19,59.2,3
19,59.3,4
19,59.4,5
19,59.5,6
19,59.6,7
19,59.7,8
19,59.8,9
19,59.9,10
19,60,11
19,60.1,12
19,60.2,13
19,60.3,14
19,60.4,15
19,60.5,16
19,60.6,17
19,60.7,18
19,60.8,19
19,60.9,20
19,61,21
19,61.1,22
19,61.2,23
19,61.3,24
19,61.4,25
19,61.5,26
19,61.6,27
19,61.7,28
19,61.8,29
19,61.9,30
19,62,31
19,62.1,32
19,62.2,33
19,62.3,34
19,62.4,35
19,62.5,36
19,62.6,37
19,62.7,38
19,62.8,39
19,62.9,40
19,63,41
19,63.1,42
19,63.2,43
19,63.3,44
19,63.4,45
19,63.5,46
19,63.6,47
19,63.7,48
19,63.8,49
19,63.9,50
19,64,51
19,64.1,52
19,64.2,53
19,64.3,54
19,64.4,55
19,64.5,56
19,64.6,57
19,64.7,58
19,64.8,59
19,64.9,60
19,65,61
19,65.1,62
19,65.2,63
19,65.3,64
19,65.4,65
19,65.5,66
19,65.6,67
19,65.7,68
19,65.8,69
19,65.9,70
19,66,71
19,66.1,72
19,66.2,73
19,66.3,74
19,66.4,75
19,66.5,76
19,66.6,77
19,66.7,78
19,66.8,79
19,66.9,80
19,67,81
19,67.1,82
19,67.2,83
19,67.3,84
19,67.4,85
19,67.5,86
19,67.6,87
19,67.7,88
19,67.8,89
19,67.9,90
19,68,91
19,68.1,92
19,68.2,93
19,68.3,94
19,68.4,95
19,68.5,96
19,68.6,97
19,68.7,98
19,68.8,99
19,68.9,100
19,69,101
19,69.1,102
19,69.2,103
19,69.3,104
19,69.4,105
19,69.5,106
19,69.6,107
19,69.7,108
19,69.8,109
19,69.9,110
19,70,111
19,70.1,112
19,70.2,113
19,70.3,114
19,70.4,115
19,70.5,116
19,70.6,117
19,70.7,118
19,70.8,119
19,70.9,120
19.2,59,121
19.2,59.1,122
19.2,59.2,123
19.2,59.3,124
19.2,59.4,125
19.2,59.5,126
19.2,59.6,127
19.2,59.7,128
19.2,59.8,129
19.2,59.9,130
19.2,60,131
19.2,60.1,132
19.2,60.2,133
19.2,60.3,134
19.2,60.4,135
19.2,60.5,136
19.2,60.6,137
